"date","hub_id","product_id","quantity_issued"
2017 Oct,"hub_4","product_3",15
2017 Oct,"hub_4","product_4",577
2017 Oct,"hub_4","product_5",5430
2017 Oct,"hub_4","product_6",25605
2017 Oct,"hub_4","product_7",76
2017 Oct,"hub_5","product_1",262
2017 Oct,"hub_5","product_2",1700
2017 Oct,"hub_5","product_3",35
2017 Oct,"hub_5","product_4",1401
2017 Oct,"hub_5","product_5",1075
2017 Oct,"hub_5","product_6",5306
2017 Oct,"hub_6","product_1",1798
2017 Oct,"hub_6","product_2",1320
2017 Oct,"hub_6","product_3",41
2017 Oct,"hub_6","product_4",7634
2017 Oct,"hub_6","product_5",4099
2017 Oct,"hub_6","product_6",124930
2017 Oct,"hub_6","product_7",94
2017 Oct,"hub_7","product_1",385
2017 Oct,"hub_7","product_2",550
2017 Oct,"hub_7","product_3",35
2017 Oct,"hub_7","product_4",1975
2017 Oct,"hub_7","product_6",19511
2017 Oct,"hub_7","product_7",210
2017 Oct,"hub_8","product_1",1123
2017 Oct,"hub_8","product_2",764
2017 Oct,"hub_8","product_3",99
2017 Oct,"hub_8","product_4",7599
2017 Oct,"hub_8","product_5",15267
2017 Oct,"hub_8","product_6",29103
2017 Oct,"hub_8","product_7",15
2017 Oct,"hub_9","product_1",164
2017 Oct,"hub_9","product_3",98
2017 Oct,"hub_9","product_4",1643
2017 Oct,"hub_9","product_5",180
2017 Oct,"hub_9","product_6",3689
2017 Oct,"hub_9","product_7",7
2017 Oct,"hub_10","product_1",287
2017 Oct,"hub_10","product_2",309
2017 Oct,"hub_10","product_3",7
2017 Oct,"hub_10","product_4",4580
2017 Oct,"hub_10","product_5",4345
2017 Oct,"hub_10","product_6",40215
2017 Oct,"hub_11","product_1",2820
2017 Oct,"hub_11","product_2",61
2017 Oct,"hub_11","product_3",170
2017 Oct,"hub_11","product_4",7212
2017 Oct,"hub_11","product_5",11596
2017 Oct,"hub_11","product_6",213460
2017 Oct,"hub_11","product_7",1140
2017 Oct,"hub_12","product_1",880
2017 Oct,"hub_12","product_3",50
2017 Oct,"hub_12","product_7",600
2017 Oct,"hub_13","product_2",410
2017 Oct,"hub_13","product_3",34
2017 Oct,"hub_13","product_4",1480
2017 Oct,"hub_13","product_5",96
2017 Oct,"hub_13","product_6",1080
2017 Oct,"hub_13","product_7",31
2017 Oct,"hub_14","product_1",1503
2017 Oct,"hub_14","product_2",4000
2017 Oct,"hub_14","product_4",9636
2017 Oct,"hub_14","product_5",208
2017 Oct,"hub_14","product_6",82264
2017 Oct,"hub_14","product_7",100
2017 Oct,"hub_15","product_1",703
2017 Oct,"hub_15","product_2",700
2017 Oct,"hub_15","product_4",1776
2017 Oct,"hub_15","product_5",2592
2017 Oct,"hub_15","product_6",49928
2017 Oct,"hub_15","product_7",220
2017 Oct,"hub_16","product_1",584
2017 Oct,"hub_16","product_2",2050
2017 Oct,"hub_16","product_3",18
2017 Oct,"hub_16","product_4",565
2017 Oct,"hub_16","product_5",108
2017 Oct,"hub_16","product_6",28900
2017 Oct,"hub_17","product_1",167
2017 Oct,"hub_17","product_2",5460
2017 Oct,"hub_17","product_3",91
2017 Oct,"hub_17","product_4",5121
2017 Oct,"hub_17","product_5",878
2017 Oct,"hub_17","product_6",36363
2017 Oct,"hub_17","product_7",453
2017 Oct,"hub_19","product_1",590
2017 Oct,"hub_19","product_2",102
2017 Oct,"hub_19","product_3",118
2017 Oct,"hub_19","product_4",4670
2017 Oct,"hub_19","product_5",365
2017 Oct,"hub_19","product_6",9450
2017 Oct,"hub_19","product_7",3
2017 Nov,"hub_1","product_1",911
2017 Nov,"hub_1","product_2",2400
2017 Nov,"hub_1","product_3",66
