"date","hub_id","product_id","quantity_issued"
2023 Mar,"hub_10","product_5",18562
2023 Apr,"hub_10","product_5",10260
2023 May,"hub_10","product_5",17420
2023 Jun,"hub_10","product_5",4680
2017 Jul,"hub_11","product_2",1e-06
2017 Aug,"hub_11","product_2",73
2017 Sep,"hub_11","product_2",100
2017 Oct,"hub_11","product_2",61
2017 Nov,"hub_11","product_2",61
2017 Dec,"hub_11","product_2",58
2018 Jan,"hub_11","product_2",369
2018 Feb,"hub_11","product_2",38
2018 Mar,"hub_11","product_2",54
2018 Apr,"hub_11","product_2",49
2018 May,"hub_11","product_2",321
2018 Jun,"hub_11","product_2",514
2018 Jul,"hub_11","product_2",18
2018 Aug,"hub_11","product_2",33
2018 Sep,"hub_11","product_2",45
2018 Oct,"hub_11","product_2",39
2018 Nov,"hub_11","product_2",552
2018 Dec,"hub_11","product_2",1023
2019 Jan,"hub_11","product_2",942
2019 Feb,"hub_11","product_2",750
2019 Mar,"hub_11","product_2",2592
2019 Apr,"hub_11","product_2",997
2019 May,"hub_11","product_2",1700
2019 Jun,"hub_11","product_2",5705
2019 Jul,"hub_11","product_2",1500
2019 Aug,"hub_11","product_2",3250
2019 Sep,"hub_11","product_2",3200
2019 Oct,"hub_11","product_2",4600
2019 Nov,"hub_11","product_2",4780
2019 Dec,"hub_11","product_2",6137
2020 Jan,"hub_11","product_2",2700
2020 Feb,"hub_11","product_2",7500
2020 Mar,"hub_11","product_2",2300
2020 Apr,"hub_11","product_2",3510
2020 May,"hub_11","product_2",4350
2020 Jun,"hub_11","product_2",4240
2020 Jul,"hub_11","product_2",1232
2020 Aug,"hub_11","product_2",2537
2020 Sep,"hub_11","product_2",2000
2020 Oct,"hub_11","product_2",4864
2020 Nov,"hub_11","product_2",3065
2020 Dec,"hub_11","product_2",4229
2021 Jan,"hub_11","product_2",1616
2021 Feb,"hub_11","product_2",4626
2021 Mar,"hub_11","product_2",3046
2021 Apr,"hub_11","product_2",5896
2021 May,"hub_11","product_2",5166
2021 Jun,"hub_11","product_2",1447
2021 Jul,"hub_11","product_2",1e-06
2021 Aug,"hub_11","product_2",482
2021 Sep,"hub_11","product_2",2950
2021 Oct,"hub_11","product_2",2408
2021 Nov,"hub_11","product_2",4759
2021 Dec,"hub_11","product_2",3615
2022 Jan,"hub_11","product_2",3555
2022 Feb,"hub_11","product_2",2760
2022 Mar,"hub_11","product_2",3578
2022 Apr,"hub_11","product_2",3465
2022 May,"hub_11","product_2",4399
2022 Jun,"hub_11","product_2",4745
2022 Jul,"hub_11","product_2",320
2022 Aug,"hub_11","product_2",5257
2022 Sep,"hub_11","product_2",1425
2022 Oct,"hub_11","product_2",6596
2022 Nov,"hub_11","product_2",3611
2022 Dec,"hub_11","product_2",4478
2023 Jan,"hub_11","product_2",1607
2023 Feb,"hub_11","product_2",4484
2023 Mar,"hub_11","product_2",2443
2023 Apr,"hub_11","product_2",3901
2023 May,"hub_11","product_2",7078
2023 Jun,"hub_11","product_2",251
2017 Jul,"hub_11","product_5",1e-06
2017 Aug,"hub_11","product_5",14423
2017 Sep,"hub_11","product_5",12335
2017 Oct,"hub_11","product_5",11596
2017 Nov,"hub_11","product_5",5832
2017 Dec,"hub_11","product_5",7288
2018 Jan,"hub_11","product_5",7791
2018 Feb,"hub_11","product_5",10981
2018 Mar,"hub_11","product_5",23954
2018 Apr,"hub_11","product_5",19131
2018 May,"hub_11","product_5",10471
2018 Jun,"hub_11","product_5",12241
2018 Jul,"hub_11","product_5",14535
2018 Aug,"hub_11","product_5",12135
2018 Sep,"hub_11","product_5",14275
2018 Oct,"hub_11","product_5",14965
2018 Nov,"hub_11","product_5",12101
2018 Dec,"hub_11","product_5",22765
2019 Jan,"hub_11","product_5",11252
2019 Feb,"hub_11","product_5",15238
2019 Mar,"hub_11","product_5",12058
2019 Apr,"hub_11","product_5",5133
2019 May,"hub_11","product_5",8266
2019 Jun,"hub_11","product_5",9472
2019 Jul,"hub_11","product_5",9752
2019 Aug,"hub_11","product_5",9586
2019 Sep,"hub_11","product_5",10975
2019 Oct,"hub_11","product_5",11744
2019 Nov,"hub_11","product_5",11578
2019 Dec,"hub_11","product_5",18475
2020 Jan,"hub_11","product_5",18954
2020 Feb,"hub_11","product_5",22551
2020 Mar,"hub_11","product_5",14184
2020 Apr,"hub_11","product_5",14242
2020 May,"hub_11","product_5",23680
2020 Jun,"hub_11","product_5",18044
2020 Jul,"hub_11","product_5",9444
2020 Aug,"hub_11","product_5",15215
2020 Sep,"hub_11","product_5",8172
2020 Oct,"hub_11","product_5",28304
2020 Nov,"hub_11","product_5",16953
2020 Dec,"hub_11","product_5",29962
2021 Jan,"hub_11","product_5",6916
2021 Feb,"hub_11","product_5",5360
2021 Mar,"hub_11","product_5",11352
2021 Apr,"hub_11","product_5",312
2021 May,"hub_11","product_5",16834
2021 Jun,"hub_11","product_5",50264
2021 Jul,"hub_11","product_5",13349
2021 Aug,"hub_11","product_5",26198
2021 Sep,"hub_11","product_5",16586
2021 Oct,"hub_11","product_5",29225
2021 Nov,"hub_11","product_5",22373
2021 Dec,"hub_11","product_5",9617
2022 Jan,"hub_11","product_5",14400
2022 Feb,"hub_11","product_5",14635
2022 Mar,"hub_11","product_5",13656
2022 Apr,"hub_11","product_5",1169
2022 May,"hub_11","product_5",1853
2022 Jun,"hub_11","product_5",29765
2022 Jul,"hub_11","product_5",5774
2022 Aug,"hub_11","product_5",40720
2022 Sep,"hub_11","product_5",19203
2022 Oct,"hub_11","product_5",35631
2022 Nov,"hub_11","product_5",35217
2022 Dec,"hub_11","product_5",35043
2023 Jan,"hub_11","product_5",25075
2023 Feb,"hub_11","product_5",32411
2023 Mar,"hub_11","product_5",32960
2023 Apr,"hub_11","product_5",27413
2023 May,"hub_11","product_5",35610
2023 Jun,"hub_11","product_5",4748
2017 Jul,"hub_11","product_7",20
2017 Aug,"hub_11","product_7",116
2017 Sep,"hub_11","product_7",60
2017 Oct,"hub_11","product_7",1140
2017 Nov,"hub_11","product_7",492
2017 Dec,"hub_11","product_7",450
2018 Jan,"hub_11","product_7",190
2018 Feb,"hub_11","product_7",361
2018 Mar,"hub_11","product_7",790
2018 Apr,"hub_11","product_7",866
2018 May,"hub_11","product_7",781
2018 Jun,"hub_11","product_7",822
2018 Jul,"hub_11","product_7",440
2018 Aug,"hub_11","product_7",897
2018 Sep,"hub_11","product_7",320
2018 Oct,"hub_11","product_7",429
2018 Nov,"hub_11","product_7",115
2018 Dec,"hub_11","product_7",244
2019 Jan,"hub_11","product_7",6915
2019 Feb,"hub_11","product_7",400
2019 Mar,"hub_11","product_7",31
2019 Apr,"hub_11","product_7",1e-06
2019 May,"hub_11","product_7",513
2019 Jun,"hub_11","product_7",274
2019 Jul,"hub_11","product_7",157
2019 Aug,"hub_11","product_7",1e-06
2019 Sep,"hub_11","product_7",50
2019 Oct,"hub_11","product_7",32
2019 Nov,"hub_11","product_7",108
2019 Dec,"hub_11","product_7",74
2020 Jan,"hub_11","product_7",31
2020 Feb,"hub_11","product_7",25
2020 Mar,"hub_11","product_7",17
2020 Apr,"hub_11","product_7",192
2020 May,"hub_11","product_7",264
2020 Jun,"hub_11","product_7",635
2020 Jul,"hub_11","product_7",400
2020 Aug,"hub_11","product_7",531
2020 Sep,"hub_11","product_7",497
2020 Oct,"hub_11","product_7",322
2020 Nov,"hub_11","product_7",395
2020 Dec,"hub_11","product_7",1157
2021 Jan,"hub_11","product_7",437
2021 Feb,"hub_11","product_7",818
2021 Mar,"hub_11","product_7",740
2021 Apr,"hub_11","product_7",104
2021 May,"hub_11","product_7",699
2021 Jun,"hub_11","product_7",1464
2021 Jul,"hub_11","product_7",287
2021 Aug,"hub_11","product_7",1074
2021 Sep,"hub_11","product_7",401
2021 Oct,"hub_11","product_7",955
2021 Nov,"hub_11","product_7",935
2021 Dec,"hub_11","product_7",1235
2022 Jan,"hub_11","product_7",697
2022 Feb,"hub_11","product_7",665
2022 Mar,"hub_11","product_7",1152
2022 Apr,"hub_11","product_7",654
2022 May,"hub_11","product_7",1260
2022 Jun,"hub_11","product_7",1605
2022 Jul,"hub_11","product_7",310
2022 Aug,"hub_11","product_7",2081
2022 Sep,"hub_11","product_7",385
2022 Oct,"hub_11","product_7",1110
2022 Nov,"hub_11","product_7",1120
2022 Dec,"hub_11","product_7",1115
2023 Jan,"hub_11","product_7",740
2023 Feb,"hub_11","product_7",2100
2023 Mar,"hub_11","product_7",1101
2023 Apr,"hub_11","product_7",1346
2023 May,"hub_11","product_7",2108
2023 Jun,"hub_11","product_7",70
2017 Jul,"hub_13","product_5",1e-06
2017 Aug,"hub_13","product_5",954
2017 Sep,"hub_13","product_5",4684
2017 Oct,"hub_13","product_5",96
2017 Nov,"hub_13","product_5",1537
2017 Dec,"hub_13","product_5",861
2018 Jan,"hub_13","product_5",120
2018 Feb,"hub_13","product_5",1682
2018 Mar,"hub_13","product_5",3138
2018 Apr,"hub_13","product_5",4272
2018 May,"hub_13","product_5",1985
2018 Jun,"hub_13","product_5",21925
2018 Jul,"hub_13","product_5",1e-06
2018 Aug,"hub_13","product_5",424
2018 Sep,"hub_13","product_5",4666
2018 Oct,"hub_13","product_5",380
2018 Nov,"hub_13","product_5",430
2018 Dec,"hub_13","product_5",6157
2019 Jan,"hub_13","product_5",10652
2019 Feb,"hub_13","product_5",25092
2019 Mar,"hub_13","product_5",140
2019 Apr,"hub_13","product_5",7420
2019 May,"hub_13","product_5",545
2019 Jun,"hub_13","product_5",24726
2019 Jul,"hub_13","product_5",1e-06
2019 Aug,"hub_13","product_5",1162
2019 Sep,"hub_13","product_5",490
2019 Oct,"hub_13","product_5",1245
2019 Nov,"hub_13","product_5",3270
2019 Dec,"hub_13","product_5",2120
2020 Jan,"hub_13","product_5",6538
2020 Feb,"hub_13","product_5",2900
2020 Mar,"hub_13","product_5",2635
2020 Apr,"hub_13","product_5",4841
2020 May,"hub_13","product_5",2682
2020 Jun,"hub_13","product_5",2140
2020 Jul,"hub_13","product_5",1e-06
2020 Aug,"hub_13","product_5",8061
2020 Sep,"hub_13","product_5",2244
2020 Oct,"hub_13","product_5",3570
2020 Nov,"hub_13","product_5",615
2020 Dec,"hub_13","product_5",2280
2021 Jan,"hub_13","product_5",853
2021 Feb,"hub_13","product_5",2539
2021 Mar,"hub_13","product_5",290
2021 Apr,"hub_13","product_5",1486
2021 May,"hub_13","product_5",999
2021 Jun,"hub_13","product_5",1162
2021 Jul,"hub_13","product_5",876
2021 Aug,"hub_13","product_5",1385
2021 Sep,"hub_13","product_5",1020
2021 Oct,"hub_13","product_5",4474
2021 Nov,"hub_13","product_5",3320
2021 Dec,"hub_13","product_5",4971
2022 Jan,"hub_13","product_5",3184
2022 Feb,"hub_13","product_5",960
2022 Mar,"hub_13","product_5",2680
2022 Apr,"hub_13","product_5",6305
2022 May,"hub_13","product_5",1530
2022 Jun,"hub_13","product_5",8834
2022 Jul,"hub_13","product_5",1e-06
2022 Aug,"hub_13","product_5",11365
2022 Sep,"hub_13","product_5",7216
2022 Oct,"hub_13","product_5",2040
2022 Nov,"hub_13","product_5",3920
2022 Dec,"hub_13","product_5",5602
2023 Jan,"hub_13","product_5",7925
2023 Feb,"hub_13","product_5",1650
2023 Mar,"hub_13","product_5",1770
2023 Apr,"hub_13","product_5",4470
2023 May,"hub_13","product_5",720
2023 Jun,"hub_13","product_5",1400
2017 Jul,"hub_14","product_5",900
2017 Aug,"hub_14","product_5",1050
2017 Sep,"hub_14","product_5",10895
2017 Oct,"hub_14","product_5",208
2017 Nov,"hub_14","product_5",1e-06
2017 Dec,"hub_14","product_5",5651
2018 Jan,"hub_14","product_5",6329
2018 Feb,"hub_14","product_5",7512
2018 Mar,"hub_14","product_5",4719
2018 Apr,"hub_14","product_5",6710
2018 May,"hub_14","product_5",7919
2018 Jun,"hub_14","product_5",12374
2018 Jul,"hub_14","product_5",10759
2018 Aug,"hub_14","product_5",6707
2018 Sep,"hub_14","product_5",5378
2018 Oct,"hub_14","product_5",9375
2018 Nov,"hub_14","product_5",9112
